Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
The Self-Administered Version of the Structured Interview for Disorders of Extreme Stress (SIDES-SR) in a Clinical and Non-Clinical Portuguese Sample,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9774498/,"Rute Pires, Ana Sousa Ferreira, Marco Paulino, João Gama Marques, Joana Henriques-Calado, Bruno Gonçalves",Behav Sci (Basel)2022 Dec;12(12): 468.Published online 2022 Nov 22.doi:10.3390/bs12120468,11/22/2022,2022,Nov,22
Using the ICF Framework to Assess Communicative Competence in Dyadic Communication among Children and Adolescents Who Use Augmentative and Alternative Communication Devices in Taiwan,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687965/,Meng-Ju Tsai,Behav Sci (Basel)2022 Nov;12(11): 467.Published online 2022 Nov 21.doi:10.3390/bs12110467,11/21/2022,2022,Nov,21
Consumer Response to Food Corporate Social Irresponsibility: Food Performance and Company Ethics Irresponsibility,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687746/,"Weiping Yu, Dongyang Si, Jun Zhou",Behav Sci (Basel)2022 Nov;12(11): 461.Published online 2022 Nov 19.doi:10.3390/bs12110461,11/19/2022,2022,Nov,19
Effects of Personality Traits Concerning Media Use Decisions on Fear of Missing Out and Social Media Use Behavior,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687568/,"Sheng-Cheng Lin, Er-Ting Jian",Behav Sci (Basel)2022 Nov;12(11): 460.Published online 2022 Nov 18.doi:10.3390/bs12110460,11/18/2022,2022,Nov,18
Can Museums Help Visitors Thrive? Review of Studies on Psychological Wellbeing in Museums,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687250/,"Marta Šveb Dragija, Daniela Angelina Jelinčić",Behav Sci (Basel)2022 Nov;12(11): 458.Published online 2022 Nov 17.doi:10.3390/bs12110458,11/17/2022,2022,Nov,17
"Relationships among Problematic Smartphone Use, Mathematics Achievement, Teacher–Student Relationships, and Subjective Well-Being: Results from a Large-Scale Survey in China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687953/,"Da Zhou, Jinqing Liu, Guizhen Ye, Ting Wang, Xiaogang Xia, Jian Liu",Behav Sci (Basel)2022 Nov;12(11): 454.Published online 2022 Nov 16.doi:10.3390/bs12110454,11/16/2022,2022,Nov,16
The Effect of WhatsApp Usage on Employee Innovative Performance at the Workplace: Perspective from the Stressor–Strain–Outcome Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687715/,"Nur Muneerah Kasim, Muhammad Ashraf Fauzi, Muhammad Fakhrul Yusuf, Walton Wider",Behav Sci (Basel)2022 Nov;12(11): 456.Published online 2022 Nov 16.doi:10.3390/bs12110456,11/16/2022,2022,Nov,16
"Parental Socialization, Delinquency during Adolescence and Adjustment in Adolescents and Adult Children",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687913/,"Sonia Climent-Galarza, Marta Alcaide, Oscar F. Garcia, Fangzhou Chen, Fernando Garcia",Behav Sci (Basel)2022 Nov;12(11): 448.Published online 2022 Nov 14.doi:10.3390/bs12110448,11/14/2022,2022,Nov,14
Metamemory: Metacognitive Strategies for Improved Memory Operations and the Role of VR and Mobiles,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687587/,"Athanasios Drigas, Eleni Mitsea, Charalabos Skianis",Behav Sci (Basel)2022 Nov;12(11): 450.Published online 2022 Nov 14.doi:10.3390/bs12110450,11/14/2022,2022,Nov,14
Dynamics of Team Learning Behaviours: The Effect of Time and Team Culture,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687379/,"Margarida Pinheiro, Teresa Rebelo, Paulo Renato Lourenço, Bruno de Sousa, Isabel Dimas",Behav Sci (Basel)2022 Nov;12(11): 449.Published online 2022 Nov 14.doi:10.3390/bs12110449,11/14/2022,2022,Nov,14
Readiness to Change: A Pathway to the Adoption of Trauma-Sensitive Teaching,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687652/,"Megan A. Blanton, Fallon J. Richie, Jennifer Langhinrichsen-Rohling",Behav Sci (Basel)2022 Nov;12(11): 445.Published online 2022 Nov 12.doi:10.3390/bs12110445,11/12/2022,2022,Nov,12
The Impact of Music Therapists’ Perspectives on Quality of Life in Building Relationships with Older Adults with Chronic Illness,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687613/,Kyung Min Kim,Behav Sci (Basel)2022 Nov;12(11): 439.Published online 2022 Nov 10.doi:10.3390/bs12110439,11/10/2022,2022,Nov,10
Do I Really Want to Change? The Effectiveness of Goal Ambivalence Feedback on Dieters’ Motivation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687562/,"Javad S. Fadardi, Samiyeh Borhani, W. Miles Cox, Alan W. Stacy",Behav Sci (Basel)2022 Nov;12(11): 441.Published online 2022 Nov 10.doi:10.3390/bs12110441,11/10/2022,2022,Nov,10
Are Perfectionists Always Dissatisfied with Life? An Empirical Study from the Perspective of Self-Determination Theory and Perceived Control,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687152/,"Qipeng Liu, Xiaoyun Zhao, Weidi Liu",Behav Sci (Basel)2022 Nov;12(11): 440.Published online 2022 Nov 10.doi:10.3390/bs12110440,11/10/2022,2022,Nov,10
Childhood Maltreatment and Life Satisfaction in Chinese Student Preschool Teachers: The Roles of Resilience and Social Support,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687336/,"Xiaojing Liu, Shengkai Ji, Juan Jiang, Chen Chen",Behav Sci (Basel)2022 Nov;12(11): 438.Published online 2022 Nov 9.doi:10.3390/bs12110438,11/9/2022,2022,Nov,9
The Rejection Template of Working Memory Operates after Attention Capture,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687071/,"Jiachen Lu, Jing Wang, Weidong Li, Jingjing Li",Behav Sci (Basel)2022 Nov;12(11): 436.Published online 2022 Nov 8.doi:10.3390/bs12110436,11/8/2022,2022,Nov,8
Science vs. Conspiracy Theory about COVID-19: Need for Cognition and Openness to Experience Increased Belief in Conspiracy-Theoretical Postings on Social Media,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687246/,"Phillip Ozimek, Marie Nettersheim, Elke Rohmann, Hans-Werner Bierhoff",Behav Sci (Basel)2022 Nov;12(11): 435.Published online 2022 Nov 7.doi:10.3390/bs12110435,11/7/2022,2022,Nov,7
Does Background Music Affect Silent Dining Emotions? An Empirical Study of Restaurants during COVID-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687492/,"Yen-Cheng Chen, Ming-Chen Chiang, Ching-Sung Lee, Pei-Ling Tsui",Behav Sci (Basel)2022 Nov;12(11): 434.Published online 2022 Nov 4.doi:10.3390/bs12110434,11/4/2022,2022,Nov,4
Assessing Measurement Properties of a Simplified Chinese Version of Sleep Condition Indicator (SCI-SC) in Community Residents,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9687702/,"Runtang Meng, Esther Yuet Ying Lau, Karen Spruyt, Christopher B. Miller, Lu Dong",Behav Sci (Basel)2022 Nov;12(11): 433.Published online 2022 Nov 3.doi:10.3390/bs12110433,11/3/2022,2022,Nov,3
