Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
Telemedicine Management: Approaches and Perspectives—A Review of the Scientific Literature of the Last 10 Years,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045599/,"Joaquín Aguirre-Sosa, Jorge Alberto Vargas-Merino",Behav Sci (Basel)2023 Mar;13(3): 255.Published online 2023 Mar 14.doi:10.3390/bs13030255,3/14/2023,2023,Mar,14
Intergenerational Support and Second-Child Fertility Intention in the Chinese Sandwich Generation: The Parallel Mediation Model of Double Burnout,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045525/,"Wenxiao Fu, Wenlong Zhao, Fei Deng",Behav Sci (Basel)2023 Mar;13(3): 256.Published online 2023 Mar 14.doi:10.3390/bs13030256,3/14/2023,2023,Mar,14
Mind over Matter: Examining the Role of Cognitive Dissonance and Self-Efficacy in Discontinuous Usage Intentions on Pan-Entertainment Mobile Live Broadcast Platforms,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045806/,"Shu Zhang, Younghwan Pan",Behav Sci (Basel)2023 Mar;13(3): 254.Published online 2023 Mar 13.doi:10.3390/bs13030254,3/13/2023,2023,Mar,13
Examining the Relationship between Adaptive Behavior and Intelligence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045280/,"Marc J. Tassé, Minje Kim",Behav Sci (Basel)2023 Mar;13(3): 252.Published online 2023 Mar 13.doi:10.3390/bs13030252,3/13/2023,2023,Mar,13
Mobile Phone Addiction and Sleep Quality: The Mediating Role of Anxiety and the Moderating Role of Emotion Regulation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045665/,"Li Gong, Qiang Liu",Behav Sci (Basel)2023 Mar;13(3): 250.Published online 2023 Mar 12.doi:10.3390/bs13030250,3/12/2023,2023,Mar,12
Analysis of Physical Education Classroom Teaching after Implementation of the Chinese Health Physical Education Curriculum Model: A Video-Based Assessment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045320/,"Chao Liu, Cuixiang Dong, Xiaohui Li, Huanhuan Huang, Qiulin Wang",Behav Sci (Basel)2023 Mar;13(3): 251.Published online 2023 Mar 12.doi:10.3390/bs13030251,3/12/2023,2023,Mar,12
What’s inside the Mind of a CEO? The Effects of Discretionary Slack Resources on R&D Investment,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045800/,"Seunghye Lee, Won-Yong Oh, Young Kyun Chang",Behav Sci (Basel)2023 Mar;13(3): 247.Published online 2023 Mar 11.doi:10.3390/bs13030247,3/11/2023,2023,Mar,11
Exploring the Evolution of Human Resource Analytics: A Bibliometric Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045487/,"Eithel F. Bonilla-Chaves, Pedro R. Palos-Sánchez",Behav Sci (Basel)2023 Mar;13(3): 244.Published online 2023 Mar 10.doi:10.3390/bs13030244,3/10/2023,2023,Mar,10
Relationship between Perceived Pain Interference and Poor Psychological Wellbeing among United States Adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045873/,"David R. Axon, Ann Kim",Behav Sci (Basel)2023 Mar;13(3): 240.Published online 2023 Mar 9.doi:10.3390/bs13030240,3/9/2023,2023,Mar,9
The Factors Influencing Users’ Trust in and Loyalty to Consumer-to-Consumer Secondhand Marketplace Platform,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10044753/,"Yumi Jang, Seongcheol Kim",Behav Sci (Basel)2023 Mar;13(3): 242.Published online 2023 Mar 9.doi:10.3390/bs13030242,3/9/2023,2023,Mar,9
Who Is Afraid of Monkeypox? Analysis of Psychosocial Factors Associated with the First Reactions of Fear of Monkeypox in the Italian Population,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045762/,"Filippo Maria Nimbi, Roberto Baiocco, Guido Giovanardi, Annalisa Tanzilli, Vittorio Lingiardi",Behav Sci (Basel)2023 Mar;13(3): 235.Published online 2023 Mar 7.doi:10.3390/bs13030235,3/7/2023,2023,Mar,7
The Influence of Emotion Induced by Accidents and Incidents on Pilots’ Situation Awareness,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045440/,"Tianjiao Lu, Yuan Li, Chenchen Zhou, Menghan Tang, Xuqun You",Behav Sci (Basel)2023 Mar;13(3): 231.Published online 2023 Mar 7.doi:10.3390/bs13030231,3/7/2023,2023,Mar,7
"An Examination of the Relationships between Eating-Disorder Symptoms, Difficulties with Emotion Regulation, and Mental Health in People with Binge Eating Disorder",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045385/,"Felipe Q. da Luz, Mohammed Mohsin, Tatiana A. Jana, Leticia S. Marinho, Edilaine dos Santos, Isabella Lobo, Luisa Pascoareli, Tamiris Gaeta, Silvia Ferrari, Paula C. Teixeira, Táki Cordás, Phillipa Hay",Behav Sci (Basel)2023 Mar;13(3): 234.Published online 2023 Mar 7.doi:10.3390/bs13030234,3/7/2023,2023,Mar,7
Determinants of Preschool Teachers’ Knowledge-Sharing Behavior from a Thinking Style Perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045284/,"Lu Cheng, Dang Wu, Junwei Cao",Behav Sci (Basel)2023 Mar;13(3): 230.Published online 2023 Mar 6.doi:10.3390/bs13030230,3/6/2023,2023,Mar,6
Which Expectations to Follow: The Impact of First- and Second-Order Beliefs on Strategy Choices in a Stag Hunt Game,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045160/,"Thomas Neumann, Paul Bengart, Bodo Vogt",Behav Sci (Basel)2023 Mar;13(3): 228.Published online 2023 Mar 6.doi:10.3390/bs13030228,3/6/2023,2023,Mar,6
Psychosocial and Cultural Processes Underlying the Epidemiological Paradox within U.S. Latino Sexual Risk: A Systematic Review,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045485/,"Patricia Cabral, Miya Chinn, Jasmine Mack, Miari Costarelli, Emma Ross, Ethan Henes, Lily Steck, Alika Jay Ka’imipono Williams, Yoo Bin Lee, Sofia Fretes, Grace Fernandez, Leslie Garcia, Lucia Sato, Yareimy Patrocinio, Disha Shah",Behav Sci (Basel)2023 Mar;13(3): 226.Published online 2023 Mar 5.doi:10.3390/bs13030226,3/5/2023,2023,Mar,5
Trait Mindfulness and Problematic Smartphone Use in Chinese Early Adolescent: The Multiple Mediating Roles of Negative Affectivity and Fear of Missing Out,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045511/,"Yuchang Jin, Wen Xiong, Xinyun Liu, Junxiu An",Behav Sci (Basel)2023 Mar;13(3): 222.Published online 2023 Mar 3.doi:10.3390/bs13030222,3/3/2023,2023,Mar,3
Short Report: Lack of Diurnal Variation in Salivary Cortisol Is Linked to Sleep Disturbances and Heightened Anxiety in Adolescents with Williams Syndrome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045386/,"Jessica Hayton, Atiqah Azhari, Gianluca Esposito, Ray Iles, Michaella Chadiarakos, Giulio Gabrieli, Dagmara Dimitriou, Stephen Mangar",Behav Sci (Basel)2023 Mar;13(3): 220.Published online 2023 Mar 3.doi:10.3390/bs13030220,3/3/2023,2023,Mar,3
"Effect Mechanism of Extracurricular Tuition and Implications on “Double Reduction” Policy: Extracurricular Tuition Intensity, Psychological Resilience, and Academic Performance",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045639/,"Chengzhe Fu, Haolin Ou, Tingyang Mo, Liao Liao",Behav Sci (Basel)2023 Mar;13(3): 217.Published online 2023 Mar 2.doi:10.3390/bs13030217,3/2/2023,2023,Mar,2
"The Interrelationship of Reflexivity, Sensitivity and Integrity in Conducting Interviews",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045330/,"Abdulghani Muthanna, Ahmed Alduais",Behav Sci (Basel)2023 Mar;13(3): 218.Published online 2023 Mar 2.doi:10.3390/bs13030218,3/2/2023,2023,Mar,2
Heart Rate as a Correlate for the Emotional Processing of Body Stimuli in Anorexia Nervosa,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045133/,"Stefanie Horndasch, Elisabeth Sharon, Anna Eichler, Holmer Graap, Gunther H. Moll, Oliver Kratz",Behav Sci (Basel)2023 Mar;13(3): 215.Published online 2023 Mar 2.doi:10.3390/bs13030215,3/2/2023,2023,Mar,2
The Mediating Effect of Psychological Ownership on the Relationship between Value Co-Creation and the In-App Purchasing Intention of Mobile Games Players,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045084/,"Yiwen Li, Jaewoo Joo",Behav Sci (Basel)2023 Mar;13(3): 205.Published online 2023 Feb 27.doi:10.3390/bs13030205,2/27/2023,2023,Feb,27
The Prosocial-Culture-Work Nexus: An Integrative Literature Review and Future Research Agenda,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10044722/,Stephen Gibb,Behav Sci (Basel)2023 Mar;13(3): 203.Published online 2023 Feb 25.doi:10.3390/bs13030203,2/25/2023,2023,Feb,25
The Effects of Language Teaching Pedagogy on Cognitive Functioning in Older Adults,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10045526/,"Mara van der Ploeg, Wander Lowie, Merel Keijzer",Behav Sci (Basel)2023 Mar;13(3): 199.Published online 2023 Feb 23.doi:10.3390/bs13030199,2/23/2023,2023,Feb,23
"The Relationships among Chinese University EFL Learners’ Feedback-Seeking Behavior, Achievement Goals, and Mindsets",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952594/,"Yunmei Sun, Yuting Huang",Behav Sci (Basel)2023 Feb;13(2): 190.Published online 2023 Feb 20.doi:10.3390/bs13020190,2/20/2023,2023,Feb,20
Untying the Text: Organizational Prosociality and Kindness,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952219/,"Rona Hart, Dan Hart",Behav Sci (Basel)2023 Feb;13(2): 186.Published online 2023 Feb 18.doi:10.3390/bs13020186,2/18/2023,2023,Feb,18
The Relationship between Exercise Re-Participation Intention Based on the Sports-Socialization Process: YouTube Sports Content Intervention,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952026/,Youngtaek Oh,Behav Sci (Basel)2023 Feb;13(2): 187.Published online 2023 Feb 18.doi:10.3390/bs13020187,2/18/2023,2023,Feb,18
Does Relationship-Contingent Self-Esteem Play a Role in the Stress to Impaired Control Pathway to Alcohol-Related Problems in a College Student Sample?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952616/,"Elena Kalina, Krystina Boyd-Frenkel, Julie A. Patock-Peckham, Lauren Schneidewent, Matthew L. Broussard, Robert F. Leeman",Behav Sci (Basel)2023 Feb;13(2): 185.Published online 2023 Feb 17.doi:10.3390/bs13020185,2/17/2023,2023,Feb,17
Factors Associated with Fertility Intention among Chinese Married Youth during the COVID-19 Pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9951887/,"Ruicheng Peng, Wei Mou, Peng Xu",Behav Sci (Basel)2023 Feb;13(2): 184.Published online 2023 Feb 17.doi:10.3390/bs13020184,2/17/2023,2023,Feb,17
Humor Coping Reduces the Positive Relationship between Avoidance Coping Strategies and Perceived Stress: A Moderation Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9952361/,"Luca Simione, Camilla Gnagnarella",Behav Sci (Basel)2023 Feb;13(2): 179.Published online 2023 Feb 16.doi:10.3390/bs13020179,2/16/2023,2023,Feb,16
