Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
The Effects of Visual Complexity and Task Difficulty on the Comprehensive Cognitive Efficiency of Cluster Separation Tasks,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604666/,"Qi Guo, Yan Chen",Behav Sci (Basel)2023 Oct;13(10): 827.Published online 2023 Oct 9.doi:10.3390/bs13100827,10/9/2023,2023,Oct,9
The Influence of Victim Self-Disclosure on Bystander Intervention in Cyberbullying,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604166/,"Yuze Zeng, Junze Xiao, Danfeng Li, Jiaxiu Sun, Qingqi Zhang, Ai Ma, Ke Qi, Bin Zuo, Xiaoqian Liu",Behav Sci (Basel)2023 Oct;13(10): 829.Published online 2023 Oct 9.doi:10.3390/bs13100829,10/9/2023,2023,Oct,9
"Self-Determined Regulation, Achievement Goals and Sport Commitment in Spanish Masters Swimmers",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10603857/,"Juan Ángel Simón-Piqueras, Pedro Gil-Madrona, David Zamorano-García, Miriam De La Torre-Maroto, Juan Gregorio Fernández-Bustos",Behav Sci (Basel)2023 Oct;13(10): 828.Published online 2023 Oct 9.doi:10.3390/bs13100828,10/9/2023,2023,Oct,9
Find Joy in Sorrows: The Role of Hope in Buffering the Psychological Impact of COVID-19 on Chinese University Students in Hong Kong,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604835/,"Stephen Cheong Yu Chan, Qi Lu Huang, Andrew Yiu Tsang Low",Behav Sci (Basel)2023 Oct;13(10): 821.Published online 2023 Oct 5.doi:10.3390/bs13100821,10/5/2023,2023,Oct,5
"Mindfulness, Physical Activity and Sports Participation: Validity Evidence of the Lithuanian Translation of the State Mindfulness Scale for Physical Activity 2 in Physically Active Young Adults",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604722/,"Migle Baceviciene, Rasa Jankauskiene, Vaiva Balciuniene",Behav Sci (Basel)2023 Oct;13(10): 820.Published online 2023 Oct 5.doi:10.3390/bs13100820,10/5/2023,2023,Oct,5
Dynamic Emotion Recognition and Social Inference Ability in Traumatic Brain Injury: An Eye-Tracking Comparison Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604615/,"Leanne Greene, John Reidy, Nick Morton, Alistair Atherton, Lynne A. Barker",Behav Sci (Basel)2023 Oct;13(10): 816.Published online 2023 Oct 3.doi:10.3390/bs13100816,10/3/2023,2023,Oct,3
Do Victims Really Help Their Abusive Supervisors? Reevaluating the Positive Consequences of Abusive Supervision,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604276/,"Wen Pan, Li-Yun Sun",Behav Sci (Basel)2023 Oct;13(10): 815.Published online 2023 Oct 3.doi:10.3390/bs13100815,10/3/2023,2023,Oct,3
"Interplay between Tradition and Modernity: Stress and Coping Experiences among Parents of Children with Autism in Beijing, China",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10603968/,"Xiaoran Wang, Fuhua Zhai, Yixuan Wang",Behav Sci (Basel)2023 Oct;13(10): 814.Published online 2023 Oct 2.doi:10.3390/bs13100814,10/2/2023,2023,Oct,2
Does the Effect of Stress on Smartphone Addiction Vary Depending on the Gender and Type of Addiction?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604698/,"Wei Tu, Yangang Nie, Qingqi Liu",Behav Sci (Basel)2023 Oct;13(10): 810.Published online 2023 Sep 30.doi:10.3390/bs13100810,9/30/2023,2023,Sep,30
The Effects of Cognitive Control on the Subcomponents of Language Control in Spoken and Written Productions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10604878/,"Tingting Yang, Weihao Lin, Guorui Zheng, Ruiming Wang",Behav Sci (Basel)2023 Oct;13(10): 809.Published online 2023 Sep 29.doi:10.3390/bs13100809,9/29/2023,2023,Sep,29
