Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
Cosmetics and Detergents with Recycled CO2: A Cross-Country Study with a Modified by Risk Perception Values–Beliefs–Norms Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295011/,"Irene Tilikidou, Antonia Delistavrou",Behav Sci (Basel)2023 Jun;13(6): 518.Published online 2023 Jun 20.doi:10.3390/bs13060518,6/20/2023,2023,Jun,20
"Latent Regression Analysis Considering Student, Teacher, and Parent Variables and Their Relationship with Academic Performance in Primary School Students in Chile",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295613/,"Sonia Salvo-Garrido, José Zayas-Castro, Karina Polanco-Levicán, José Luis Gálvez-Nieto",Behav Sci (Basel)2023 Jun;13(6): 516.Published online 2023 Jun 19.doi:10.3390/bs13060516,6/19/2023,2023,Jun,19
Are You Dominated by Your Affects? How and When Do Employees’ Daily Affective States Impact Learning from Project Failure?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295162/,"Wenzhou Wang, Longdi Li, Shanghao Song, Wendi Jiang",Behav Sci (Basel)2023 Jun;13(6): 514.Published online 2023 Jun 19.doi:10.3390/bs13060514,6/19/2023,2023,Jun,19
Psychometric Properties of Interpersonal Regulation Questionnaire for Chinese College Students: Gender Differences and Implications for Well-Being,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295745/,"Yanhua Zhao, Niu Wang, Jiahui Niu, Xingchen Li, Lei Zhang",Behav Sci (Basel)2023 Jun;13(6): 507.Published online 2023 Jun 16.doi:10.3390/bs13060507,6/16/2023,2023,Jun,16
Lifelong Fitness in Ambulatory Children and Adolescents with Cerebral Palsy II: Influencing the Trajectory,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295269/,"Susan V. Duff, Justine D. Kimbel, Marybeth Grant-Beuttler, Theresa Sukal-Moulton, Noelle G. Moreau, Kathleen M. Friel",Behav Sci (Basel)2023 Jun;13(6): 504.Published online 2023 Jun 15.doi:10.3390/bs13060504,6/15/2023,2023,Jun,15
The Effect of Just-World Beliefs on Cyberaggression: A Moderated Mediation Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295346/,"Qingsong Sang, Qi Kang, Kun Zhang, Shouli Shu, Lijuan Quan",Behav Sci (Basel)2023 Jun;13(6): 500.Published online 2023 Jun 14.doi:10.3390/bs13060500,6/14/2023,2023,Jun,14
Correlates of COVID-19 Preventative Behaviors before and after Vaccination Availability,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295163/,"Kristopher J. Kimbler, Caleb Gromer, Melissa Ayala, Brianna Casey",Behav Sci (Basel)2023 Jun;13(6): 501.Published online 2023 Jun 14.doi:10.3390/bs13060501,6/14/2023,2023,Jun,14
"An Empirical Study of Social Loafing Behavior among Public Officers in South Korea: The Role of Trust in a Supervisor, Perceived Organizational Support, and Perceived Organizational Politics",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295759/,"Jin Young Kim, Wonho Jeung, Seung-Wan Kang, Ted A. Paterson",Behav Sci (Basel)2023 Jun;13(6): 498.Published online 2023 Jun 13.doi:10.3390/bs13060498,6/13/2023,2023,Jun,13
A Face to Love or Trust,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295330/,"Christer Johansson, Per Olav Folgerø",Behav Sci (Basel)2023 Jun;13(6): 494.Published online 2023 Jun 12.doi:10.3390/bs13060494,6/12/2023,2023,Jun,12
Aspects of Sexuality in Quilombola Communities’ Young Adults in Eastern Brazilian Amazon,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295322/,"Lilian Gabrielle Ramos Costa, Aline Cristina Mercês Pinheiro, Iasmin Pereira Cabral Miranda, Aline Lobato de Farias, Hilton Pereira da Silva, Fabiana de Campos Gomes, Angélica Mércia Pascon Barbosa, Thalita da Luz Costa, João Simão de Melo Neto",Behav Sci (Basel)2023 Jun;13(6): 492.Published online 2023 Jun 12.doi:10.3390/bs13060492,6/12/2023,2023,Jun,12
"Dual-Task Performance, Balance and Aerobic Capacity as Predictors of Falls in Older Adults with Cardiovascular Disease: A Comparative Study",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10295188/,"Heitor Silveira, Juliana Lima, Jessica Plácido, José Vinícius Ferreira, Renan Ferreira, Jerson Laks, Andrea Deslandes",Behav Sci (Basel)2023 Jun;13(6): 488.Published online 2023 Jun 9.doi:10.3390/bs13060488,6/9/2023,2023,Jun,9
