Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
"Differential Risk: Gender and Racial Differences in the Relationship between Trauma, Discrimination, and Schizotypy",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11117737/,"Mahogany A. Monette, Madisen T. Russell, Danielle B. Abel, Jarrett T. Lewis, Jessica L. Mickens, Evan J. Myers, Megan M. Hricovec, David C. Cicero, J. Wolny, William P. Hetrick, Michael D. Masucci, Alex S. Cohen, Christopher J. Burgin, Thomas R. Kwapil, Kyle S. Minor",Behav Sci (Basel)2024 May;14(5): 363.Published online 2024 Apr 25.doi:10.3390/bs14050363,4/25/2024,2024,Apr,25
Early Support for People Who Hear Voices: Exploratory Research on Family Medicine Physicians’ Clinical Practice and Beliefs,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11117472/,"Antonio Iudici, Giulia Alecu, Maria Quarato, Jessica Neri",Behav Sci (Basel)2024 May;14(5): 357.Published online 2024 Apr 25.doi:10.3390/bs14050357,4/25/2024,2024,Apr,25
Music Therapy Assessment for Older Adults: Descriptive Mixed-Methods Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11118053/,Amy Clements-Cortés,Behav Sci (Basel)2024 May;14(5): 354.Published online 2024 Apr 23.doi:10.3390/bs14050354,4/23/2024,2024,Apr,23
Understanding and Perception of Automated Text Generation among the Public: Two Surveys with Representative Samples in Germany,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11118015/,"Angelica Lermann Henestrosa, Joachim Kimmerle",Behav Sci (Basel)2024 May;14(5): 353.Published online 2024 Apr 23.doi:10.3390/bs14050353,4/23/2024,2024,Apr,23
Rest to Promote Learning: A Brain Default Mode Network Perspective,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047624/,"Wei Luo, Biao Liu, Ying Tang, Jingwen Huang, Ji Wu",Behav Sci (Basel)2024 Apr;14(4): 349.Published online 2024 Apr 22.doi:10.3390/bs14040349,4/22/2024,2024,Apr,22
Research on the Impact of Industrial Policy on the Innovation Behavior of Strategic Emerging Industries,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047462/,"Wei Yang, Xueke Wang, Dandan Zhou",Behav Sci (Basel)2024 Apr;14(4): 346.Published online 2024 Apr 22.doi:10.3390/bs14040346,4/22/2024,2024,Apr,22
Assessing the Psychometric Properties of the Illness Management and Recovery Scale: A Systematic Review Using the Consensus-Based Standards for the Selection of Health Measurement Instruments (COSMIN),https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047639/,"Nuria Martín-Ordiales, María Dolores Hidalgo, María Pilar Martín-Chaparro, Júlia Ballester-Plané, Maite Barrios",Behav Sci (Basel)2024 Apr;14(4): 340.Published online 2024 Apr 18.doi:10.3390/bs14040340,4/18/2024,2024,Apr,18
Recognizing and Looking at Masked Emotional Faces in Alexithymia,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047507/,"Marla Fuchs, Anette Kersting, Thomas Suslow, Charlott Maria Bodenschatz",Behav Sci (Basel)2024 Apr;14(4): 343.Published online 2024 Apr 18.doi:10.3390/bs14040343,4/18/2024,2024,Apr,18
The Influence of Psychosocial Factors on the Successful Formal Education Trajectories of Young Spanish People in Vulnerable Situations,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047444/,"Edgar C. Campos, Susana Fonseca, Deibe Fernández-Simo, Carlos Rosón",Behav Sci (Basel)2024 Apr;14(4): 342.Published online 2024 Apr 18.doi:10.3390/bs14040342,4/18/2024,2024,Apr,18
Identifying Consciousness in Other Creatures: Three Initial Steps,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047643/,"Alejandro Heredia Cedillo, Dennis Lambert, Ezequiel Morsella",Behav Sci (Basel)2024 Apr;14(4): 337.Published online 2024 Apr 17.doi:10.3390/bs14040337,4/17/2024,2024,Apr,17
"Negative Acts in the Courtroom: Characteristics, Distribution, and Frequency among a National Cohort of Danish Prosecutors",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047697/,"Amanda Ryssel Hovman, Jesper Pihl-Thingvad, Ask Elklit, Kirsten Kaya Roessler, Maria Louison Vang",Behav Sci (Basel)2024 Apr;14(4): 332.Published online 2024 Apr 16.doi:10.3390/bs14040332,4/16/2024,2024,Apr,16
Differential Experiences of Intimate Partner Violence during COVID-19: A Cross-Regional Study in Mexico,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047592/,"Sofia Navarrete Zur, Paola M. Sesia",Behav Sci (Basel)2024 Apr;14(4): 331.Published online 2024 Apr 15.doi:10.3390/bs14040331,4/15/2024,2024,Apr,15
A Single-Session Process-Based Cognitive-Behavioral Intervention Combined with Multimodal Rehabilitation Treatment for Chronic Pain Associated with Emotional Disorders,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11047417/,"Cristiana-Manuela Cojocaru, Cosmin Octavian Popa, Alina Schenk, Zsolt Jakab, Bogdan Andrei Suciu, Peter Olah, Horațiu Popoviciu, Simona Szasz",Behav Sci (Basel)2024 Apr;14(4): 327.Published online 2024 Apr 15.doi:10.3390/bs14040327,4/15/2024,2024,Apr,15
