Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
How Childhood Socioeconomic Status Impacts Adult Food Preference: The Mediating Role of Stress and Trait Appetite,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9311915/,"Jim B. Swaffield, Qi Guo",Behav Sci (Basel)2022 Jul;12(7): 202.Published online 2022 Jun 22.doi:10.3390/bs12070202,6/22/2022,2022,Jun,22
Assessing Cognitive Factors of Modular Distance Learning of K-12 Students Amidst the COVID-19 Pandemic towards Academic Achievements and Satisfaction,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9312230/,"Yung-Tsan Jou, Klint Allen Mariñas, Charmine Sheena Saflor",Behav Sci (Basel)2022 Jul;12(7): 200.Published online 2022 Jun 21.doi:10.3390/bs12070200,6/21/2022,2022,Jun,21
The “Ifs” and “Hows” of the Role of Music on the Implementation of Emotional Regulation Strategies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219814/,"Mariana Carvalho, Nicoletta Cera, Susana Silva",Behav Sci (Basel)2022 Jun;12(6): 199.Published online 2022 Jun 20.doi:10.3390/bs12060199,6/20/2022,2022,Jun,20
Social Determinants of Voice Outcomes: The Configurational Analysis of the Effects of LMX and Peer Relationships,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220262/,"Jeeyoung Kim, Ah Jung Kim, Myung-Ho Chung",Behav Sci (Basel)2022 Jun;12(6): 197.Published online 2022 Jun 19.doi:10.3390/bs12060197,6/19/2022,2022,Jun,19
Antidepressant-like Effects ofPolygonum minusAqueous Extract in Chronic Ultra-Mild Stress-Induced Depressive Mice Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220072/,"Muhammad Irfan Bashir, Nur Hidayah Kaz Abdul Aziz, Dzul Azri Mohamed Noor",Behav Sci (Basel)2022 Jun;12(6): 196.Published online 2022 Jun 18.doi:10.3390/bs12060196,6/18/2022,2022,Jun,18
Medical Students and Professionals Facing the COVID-19 Pandemic: A Cross-Sectional Survey Study about Similarities and Differences,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219906/,"Giacomo De Micheli, Giulia Marton, Davide Mazzoni, Laura Vergani",Behav Sci (Basel)2022 Jun;12(6): 189.Published online 2022 Jun 15.doi:10.3390/bs12060189,6/15/2022,2022,Jun,15
The Thin Ideal and Attitudes towards Appearance as Correlates of Exercise Addiction among Sporty People during the COVID-19 Pandemic,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220258/,"Rubinia Celeste Bonfanti, Gianluca Lo Coco, Laura Salerno, Maria Di Blasi",Behav Sci (Basel)2022 Jun;12(6): 187.Published online 2022 Jun 11.doi:10.3390/bs12060187,6/11/2022,2022,Jun,11
"Medical Mistrust, COVID-19 Stress, and Intent to Vaccinate in Racial–Ethnic Minorities",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219672/,"Charlene Minaya, Dean McKay, Hannah Benton, Judite Blanc, Azizi A. Seixas",Behav Sci (Basel)2022 Jun;12(6): 186.Published online 2022 Jun 10.doi:10.3390/bs12060186,6/10/2022,2022,Jun,10
Personal Cell Phones among Children: Parental Perception of Content-Related Threats and Attempts to Control Them in a Lithuanian Sample,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219742/,"Donatas Austys, Ausma Sprudzanaitė, Rimantas Stukas",Behav Sci (Basel)2022 Jun;12(6): 185.Published online 2022 Jun 9.doi:10.3390/bs12060185,6/9/2022,2022,Jun,9
"An Arabic Sedentary Behaviors Questionnaire (ASBQ): Development, Content Validation, and Pre-Testing Findings",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220100/,"Hazzaa M. Al-Hazzaa, Shaima A. Alothman, Nada M. Albawardi, Abdullah F. Alghannam, Alaa A. Almasud",Behav Sci (Basel)2022 Jun;12(6): 183.Published online 2022 Jun 8.doi:10.3390/bs12060183,6/8/2022,2022,Jun,8
Creating and Sustaining Service Industry Relationships and Families: Theorizing How Personal Workplace Relationships Both Build Community and Perpetuate Organizational Violence,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219968/,"Elizabeth K. Eger, Emily Pollard, Hannah E. Jones, Riki Van Meter",Behav Sci (Basel)2022 Jun;12(6): 184.Published online 2022 Jun 8.doi:10.3390/bs12060184,6/8/2022,2022,Jun,8
Chewing Revenge or Becoming Socially Desirable? Anger Rumination in Refugees and Immigrants Experiencing Racial Hostility: Latin-Americans in Spain,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219877/,"María José da Silva Rebelo, Mercedes Fernández, Carmen Meneses-Falcón",Behav Sci (Basel)2022 Jun;12(6): 180.Published online 2022 Jun 7.doi:10.3390/bs12060180,6/7/2022,2022,Jun,7
A Multivariate Analysis of the Interest in Starting Family Businesses within a Developing Economy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219660/,"Silvia Puiu, Roxana Maria Bădîrcea, Alina Georgiana Manta, Nicoleta Mihaela Doran, Georgeta-Madalina Meghisan-Toma, Flaviu Meghisan",Behav Sci (Basel)2022 Jun;12(6): 181.Published online 2022 Jun 7.doi:10.3390/bs12060181,6/7/2022,2022,Jun,7
