Title,Link,Authors,Details,Publish Online,Publish Online Year,Publish Online Month,Publish Online Date
"People, Professionals, and Profit Centers: The Connection between Lawyer Well-Being and Employer Values",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219783/,"Patrick R. Krill, Nikki Degeneffe, Kelly Ochocki, Justin J. Anker",Behav Sci (Basel)2022 Jun;12(6): 177.Published online 2022 Jun 3.doi:10.3390/bs12060177,6/3/2022,2022,Jun,3
Attitudes and Involvement of Employees in the Process of Implementing Innovations and Changes in Companies,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219631/,"Zuzana Lušňáková, Renáta Benda-Prokeinová, Zuzana Juríčková",Behav Sci (Basel)2022 Jun;12(6): 174.Published online 2022 Jun 1.doi:10.3390/bs12060174,6/1/2022,2022,Jun,1
Effects of Early Weaning Associated with Alimentary Stress on Emotional and Feeding Behavior of Female Adult Wistar Rats,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220599/,"Víctor Isaac Meléndez Díaz, Julliet Araújo de Souza, Sandra Lopes de Sousa",Behav Sci (Basel)2022 Jun;12(6): 171.Published online 2022 May 31.doi:10.3390/bs12060171,5/31/2022,2022,May,31
Recognition of Basic Emotions with and without the Use of Emotional Vocabulary by Adolescents with Down Syndrome,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220526/,"Régis Pochon, Claire Touchet, Laure Ibernon",Behav Sci (Basel)2022 Jun;12(6): 167.Published online 2022 May 30.doi:10.3390/bs12060167,5/30/2022,2022,May,30
Fear of Losing Jobs during COVID-19: Can Psychological Capital Alleviate Job Insecurity and Job Stress?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220038/,"Bangxin Peng, Wisanupong Potipiroon",Behav Sci (Basel)2022 Jun;12(6): 168.Published online 2022 May 30.doi:10.3390/bs12060168,5/30/2022,2022,May,30
The Effect of Videoconferencing on Second-Language Learning: A Meta-Analysis,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219809/,Li-Tang Yu,Behav Sci (Basel)2022 Jun;12(6): 169.Published online 2022 May 30.doi:10.3390/bs12060169,5/30/2022,2022,May,30
Unwinding on the Weekend from Work-Related Stress: Moderating Effect of Weekday Psychological Stress on the Relationship between Increased Recovery Experience and Reduction of Psychological Stress on the Weekend,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9219705/,"Satoshi Horiuchi, Suguru Iwano, Shuntaro Aoki, Yuji Sakano",Behav Sci (Basel)2022 Jun;12(6): 163.Published online 2022 May 25.doi:10.3390/bs12060163,5/25/2022,2022,May,25
Discovering Engagement Personas in a Digital Diabetes Prevention Program,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9220103/,"Jonathan H. Hori, Elizabeth X. Sia, Kimberly G. Lockwood, Lisa A. Auster-Gussman, Sharon Rapoport, OraLee H. Branch, Sarah A. Graham",Behav Sci (Basel)2022 Jun;12(6): 159.Published online 2022 May 24.doi:10.3390/bs12060159,5/24/2022,2022,May,24
Musical Enjoyment and Reward: From Hedonic Pleasure to Eudaimonic Listening,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137732/,"Mark Reybrouck, Tuomas Eerola",Behav Sci (Basel)2022 May;12(5): 154.Published online 2022 May 19.doi:10.3390/bs12050154,5/19/2022,2022,May,19
The Communicative Effectiveness of Branding at Sports Press Conferences,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138095/,"Galvão Meirinhos, Tiago Mendes, Reiville Rêgo, Márcio Oliveira, Margarida Rodrigues, Rui Silva",Behav Sci (Basel)2022 May;12(5): 151.Published online 2022 May 18.doi:10.3390/bs12050151,5/18/2022,2022,May,18
"Disasters, Diagnosis, and Distress: Multiple Perspectives, Populations, and Methodologies",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137573/,"Carol S. North, David E. Pollio, Elizabeth Whitney Pollio",Behav Sci (Basel)2022 May;12(5): 152.Published online 2022 May 18.doi:10.3390/bs12050152,5/18/2022,2022,May,18
Moral Observer-Licensing in Cyberspace,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138128/,"Yawei Ran, Yubo Hou, Zhiwen Dong, Qi Wang",Behav Sci (Basel)2022 May;12(5): 148.Published online 2022 May 17.doi:10.3390/bs12050148,5/17/2022,2022,May,17
Aggression in Adolescents: The Role of Mother-Child Attachment and Self-Esteem,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137955/,"Alif Muarifah, Riana Mashar, Intan Hashimah Mohd Hashim, Nurul Hidayati Rofiah, Fitriana Oktaviani",Behav Sci (Basel)2022 May;12(5): 147.Published online 2022 May 17.doi:10.3390/bs12050147,5/17/2022,2022,May,17
Sensory Stimuli to Sustainable Social Wellbeing: A Multimodal Approach Based on Warm Scent,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137644/,"Sinae Lee, Dongwon Min",Behav Sci (Basel)2022 May;12(5): 146.Published online 2022 May 16.doi:10.3390/bs12050146,5/16/2022,2022,May,16
Conception Preferences during COVID-19 Pandemic Lockdowns,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137999/,"Soha Albeitawi, Zina Al-Alami, Khaldoun Khamaiseh, Lama Al Mehaisen, Almu’atasim Khamees, Jehan Hamadneh",Behav Sci (Basel)2022 May;12(5): 144.Published online 2022 May 13.doi:10.3390/bs12050144,5/13/2022,2022,May,13
From Regulating Emotions to Less Lonely Screen Time: Parents’ Qualitative Perspectives of the Benefits and Challenges of Adolescent Pet Companionship,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137762/,"Linda Charmaraman, Stephanie Cobas, Jules Weed, Quan Gu, Elizabeth Kiel, Holly Chin, Alyssa Gramajo, Megan K. Mueller",Behav Sci (Basel)2022 May;12(5): 143.Published online 2022 May 13.doi:10.3390/bs12050143,5/13/2022,2022,May,13
Citizens’ Perception of COVID-19 Passport Usefulness: A Cross Sectional Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137592/,"Jorge de Andrés-Sánchez, Mario Arias-Oliva, Jorge Pelegrin-Borondo",Behav Sci (Basel)2022 May;12(5): 140.Published online 2022 May 12.doi:10.3390/bs12050140,5/12/2022,2022,May,12
Anxiety and Depression in Belgium during the First 15 Months of the COVID-19 Pandemic: A Longitudinal Study,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137576/,"Helena Bruggeman, Pierre Smith, Finaba Berete, Stefaan Demarest, Lize Hermans, Elise Braekman, Rana Charafeddine, Sabine Drieskens, Karin De Ridder, Lydia Gisle",Behav Sci (Basel)2022 May;12(5): 141.Published online 2022 May 12.doi:10.3390/bs12050141,5/12/2022,2022,May,12
Changing Times: The Impact of Digitalization on the Behavior of Professionals and Their Perception towards Development,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137673/,"Ariadna Badea, Nicolae Paun, Cristina Fleseriu, Dragos Paun",Behav Sci (Basel)2022 May;12(5): 139.Published online 2022 May 10.doi:10.3390/bs12050139,5/10/2022,2022,May,10
Visual Affective Stimulus Database: A Validated Set of Short Videos,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138138/,"Qiuhong Li, Yiran Zhao, Bingyan Gong, Ruyue Li, Yinqiao Wang, Xinyuan Yan, Chao Wu",Behav Sci (Basel)2022 May;12(5): 137.Published online 2022 May 9.doi:10.3390/bs12050137,5/9/2022,2022,May,9
Does Value Lead to Loyalty? Exploring the Important Role of the Tourist–Destination Relationship,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138082/,"Haihong Wang, Yufan Yang, Wenjun He",Behav Sci (Basel)2022 May;12(5): 136.Published online 2022 May 6.doi:10.3390/bs12050136,5/6/2022,2022,May,6
The Health of Healthcare Professionals in Italian Oncology: An Analysis of Narrations through the M.A.D.I.T. Methodology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137842/,"Gian Piero Turchi, Ilaria Salvalaggio, Claudio Croce, Marta Silvia Dalla Riva, Luisa Orrù, Antonio Iudici",Behav Sci (Basel)2022 May;12(5): 134.Published online 2022 May 5.doi:10.3390/bs12050134,5/5/2022,2022,May,5
A Systematic Review of the Sustainable Campus Concept,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138111/,"Agus Sugiarto, Cheng-Wen Lee, Andrian Dolfriandra Huruta",Behav Sci (Basel)2022 May;12(5): 130.Published online 2022 Apr 29.doi:10.3390/bs12050130,4/29/2022,2022,Apr,29
"Differentiating Individuals with and without Alcohol Use Disorder Using Resting-State fMRI Functional Connectivity of Reward Network, Neuropsychological Performance, and Impulsivity Measures",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137599/,"Chella Kamarajan, Babak A. Ardekani, Ashwini K. Pandey, Sivan Kinreich, Gayathri Pandey, David B. Chorlian, Jacquelyn L. Meyers, Jian Zhang, Elaine Bermudez, Weipeng Kuang, Arthur T. Stimus, Bernice Porjesz",Behav Sci (Basel)2022 May;12(5): 128.Published online 2022 Apr 28.doi:10.3390/bs12050128,4/28/2022,2022,Apr,28
"“First Catch Your Hare”: Some Difficulties with, and Contextual Factors in, Understanding (In)Appropriate Workplace Relationships",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137988/,Steve Duck,Behav Sci (Basel)2022 May;12(5): 126.Published online 2022 Apr 27.doi:10.3390/bs12050126,4/27/2022,2022,Apr,27
Effect of Despotic Leadership on Employee Turnover Intention: Mediating Toxic Workplace Environment and Cognitive Distraction in Academic Institutions,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9137788/,"Javed Iqbal, Ali Asghar, Muhammad Zaheer Asghar",Behav Sci (Basel)2022 May;12(5): 125.Published online 2022 Apr 27.doi:10.3390/bs12050125,4/27/2022,2022,Apr,27
Continuance Intention to Use and Perceived Net Benefits as Perceived by Streaming Platform Users: An Application of the Updated IS Success Model,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138005/,"Chan-Sheng Kuo, Chia-Chien Hsu",Behav Sci (Basel)2022 May;12(5): 124.Published online 2022 Apr 24.doi:10.3390/bs12050124,4/24/2022,2022,Apr,24
